city,state,lat,long
Huntsville,Alabama,34.7304,-86.58594
Ash Fork,Arizona,35.22501,-112.48407
Avondale,Arizona,33.4356,-112.3496
Bullhead City,Arizona,35.14778,-114.5683
Chandler,Arizona,33.30616,-111.84125
Flagstaff,Arizona,35.19807,-111.65127
Gilbert,Arizona,33.35283,-111.78903
Glendale,Arizona,33.53865,-112.18599
Goodyear,Arizona,33.43532,-112.35821
Kingman,Arizona,35.18944,-114.05301
Lake Havasu,Arizona,34.4839,-114.32245
Littlefield,Arizona,36.8872,-113.92969
Mesa,Arizona,33.42227,-111.82264
Peoria,Arizona,33.5806,-112.23738
Phoenix,Arizona,33.44838,-112.07404
Prescott Valley,Arizona,34.61002,-112.31572
Queen Creek,Arizona,33.24866,-111.6343
Surprise,Arizona,33.63059,-112.33322
Tempe,Arizona,33.41477,-111.90931
Tucson,Arizona,32.22174,-110.92648
White Hills,Arizona,35.73804,-114.39747
Yuma,Arizona,32.72532,-114.6244
Adelanto,California,34.58277,-117.40922
Aliso Viejo,California,33.56504,-117.72712
Anaheim,California,33.83529,-117.9145
Apple Valley,California,34.50083,-117.18588
Artesia,California,33.86585,-118.08312
Azusa,California,34.13362,-117.90756
Baker,California,35.26498,-116.07446
Bakersfield,California,35.37329,-119.01871
Baldwin Hills,California,34.00085,-118.36841
Baldwin Park,California,34.08529,-117.9609
Banning,California,33.92557,-116.87641
Barstow,California,34.89859,-117.02282
Beaumont,California,33.92946,-116.97725
Bellflower,California,33.88168,-118.11701
Bloomington,California,34.07029,-117.39588
Blythe,California,33.6103,-114.59635
Brawley,California,32.97866,-115.53027
Buena Park,California,33.86751,-117.99812
Burbank,California,34.18084,-118.30897
Calimesa,California,34.0039,-117.06198
Camarillo,California,34.21639,-119.0376
Canoga Park,California,34.20112,-118.59814
Carson,California,33.83141,-118.28202
Cathedral City,California,33.77974,-116.46529
Ceres,California,37.59493,-120.95771
Chatsworth,California,34.25723,-118.6012
Chico,California,39.72849,-121.83748
Chino,California,34.01223,-117.68894
Citrus Heights,California,38.70712,-121.28106
Clovis,California,36.82523,-119.70292
Coachella,California,33.6803,-116.17389
Colton,California,34.0739,-117.31365
Commerce,California,34.00057,-118.15979
Compton,California,33.89585,-118.22007
Corona,California,33.87529,-117.56644
Costa Mesa,California,33.64113,-117.91867
Covina,California,34.09001,-117.89034
Culver City,California,34.02112,-118.39647
Cypress,California,33.81696,-118.03729
Dana Point,California,33.46697,-117.69811
Desert Hot Sprngs,California,33.96173,-116.50353
Diamond Bar,California,34.02862,-117.81034
Downey,California,33.94001,-118.13257
El Cajon,California,32.79477,-116.96253
El Centro,California,32.792,-115.56305
El Monte,California,34.06862,-118.02757
Elk Grove,California,38.4088,-121.37162
Escondido,California,33.11921,-117.08642
Fair Oaks,California,38.64463,-121.27217
Fairfield,California,38.24936,-122.03997
Folsom,California,38.67796,-121.17606
Fontana,California,34.09223,-117.43505
Foothill Ranch,California,33.68641,-117.66088
Fountain Valley,California,33.70918,-117.95367
Fresno,California,36.74773,-119.77237
Fullerton,California,33.87029,-117.92534
Garden Grove,California,33.77391,-117.94145
Gardena,California,33.88835,-118.30896
Glendale,California,34.14251,-118.25508
Glendora,California,34.13612,-117.86534
Granada Hills,California,34.26472,-118.52314
Hacienda Heights,California,33.99307,-117.96868
Hemet,California,33.74761,-116.97307
Hesperia,California,34.42639,-117.30088
Highland,California,34.12834,-117.20865
Huntington Beach,California,33.6603,-117.99923
Imperial Beach,California,32.58394,-117.11308
Indio,California,33.7207,-116.21677
Inglewood,California,33.96168,-118.35313
Irvine,California,33.66946,-117.82311
Jurupa Valley,California,33.99251,-117.51644
La Habra,California,33.93196,-117.94617
La Mirada,California,33.91724,-118.01201
La Quinta,California,33.66336,-116.31001
La Verne,California,34.10084,-117.76784
Lake Elsinore,California,33.66808,-117.32726
Lake Forest,California,33.64697,-117.68922
Lakewood,California,33.85363,-118.13396
Lancaster,California,34.69804,-118.13674
Lemon Grove,California,32.74255,-117.03142
Loma Linda,California,34.04835,-117.26115
Long Beach,California,33.76696,-118.18923
Los Angeles,California,34.05223,-118.24368
Manteca,California,37.79743,-121.21605
Mecca,California,33.57219,-116.0782
Menifee,California,33.72835,-117.14642
Merced,California,37.30216,-120.48297
Mira Loma,California,33.99251,-117.51644
Mission Hills,California,34.68609,-120.43683
Mission Viejo,California,33.60002,-117.672
Modesto,California,37.6391,-120.99688
Monrovia,California,34.14806,-117.99895
Montebello,California,34.00946,-118.10535
